id,name,coord.lat,coord.lon,country,population,timezone,sunrise,sunset,dt,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.sea_level,main.grnd_level,main.humidity,main.temp_kf,weather.0.id,weather.0.main,weather.0.description,weather.0.icon,clouds.all,wind.speed,wind.deg,wind.gust,visibility,pop,sys.pod,dt_txt
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1733918400,6.69,3.82,6.69,7.87,1032,1032,1028,78,-1.18,804,Clouds,overcast clouds,04d,100,4.22,49,7.51,10000,0,d,2024-12-11 12:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1733929200,7.35,4.72,7.35,7.97,1032,1032,1027,71,-0.62,804,Clouds,overcast clouds,04d,100,4.05,47,7.08,10000,0,d,2024-12-11 15:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1733940000,7.78,5.12,7.78,7.78,1032,1032,1028,63,0,804,Clouds,overcast clouds,04n,100,4.32,58,7.46,10000,0,n,2024-12-11 18:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1733950800,7.94,5.37,7.94,7.94,1033,1033,1028,63,0,804,Clouds,overcast clouds,04n,100,4.2,58,7.31,10000,0,n,2024-12-11 21:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1733961600,7.8,5.93,7.8,7.8,1033,1033,1028,66,0,804,Clouds,overcast clouds,04n,99,2.9,49,6.94,10000,0,n,2024-12-12 00:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1733972400,8.14,5.87,8.14,8.14,1032,1032,1028,66,0,804,Clouds,overcast clouds,04n,100,3.7,71,6.46,10000,0,n,2024-12-12 03:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1733983200,7.89,6.2,7.89,7.89,1031,1031,1027,76,0,804,Clouds,overcast clouds,04n,100,2.67,55,7.18,10000,0,n,2024-12-12 06:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1733994000,7.68,6.22,7.68,7.68,1032,1032,1027,90,0,804,Clouds,overcast clouds,04d,100,2.32,29,6.6,10000,0,d,2024-12-12 09:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734004800,8.21,6.9,8.21,8.21,1031,1031,1026,91,0,804,Clouds,overcast clouds,04d,100,2.24,29,6.45,10000,0,d,2024-12-12 12:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734015600,8.36,6.88,8.36,8.36,1029,1029,1025,93,0,500,Rain,light rain,10d,100,2.5,33,7.47,10000,0.2,0.14,d,2024-12-12 15:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734026400,8.47,6.93,8.47,8.47,1029,1029,1024,94,0,804,Clouds,overcast clouds,04n,100,2.62,45,7.91,10000,0,n,2024-12-12 18:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734037200,8.53,7.03,8.53,8.53,1028,1028,1024,94,0,804,Clouds,overcast clouds,04n,100,2.57,49,7.44,10000,0,n,2024-12-12 21:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734048000,8.14,5.99,8.14,8.14,1027,1027,1023,90,0,804,Clouds,overcast clouds,04n,100,3.48,63,7.97,10000,0,n,2024-12-13 00:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734058800,7.71,6.32,7.71,7.71,1027,1027,1022,78,0,804,Clouds,overcast clouds,04n,99,2.24,57,5.69,10000,0,n,2024-12-13 03:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734069600,7.57,6.38,7.57,7.57,1025,1025,1021,72,0,804,Clouds,overcast clouds,04n,99,1.98,58,5.09,10000,0,n,2024-12-13 06:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734080400,7.45,6.5,7.45,7.45,1026,1026,1021,74,0,804,Clouds,overcast clouds,04d,100,1.72,69,3.89,10000,0,d,2024-12-13 09:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734091200,7.73,7.73,7.73,7.73,1025,1025,1020,75,0,804,Clouds,overcast clouds,04d,100,0.91,59,1.2,10000,0,d,2024-12-13 12:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734102000,7.76,7.76,7.76,7.76,1023,1023,1019,75,0,804,Clouds,overcast clouds,04d,100,0.41,352,0.34,10000,0,d,2024-12-13 15:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734112800,7.54,7.54,7.54,7.54,1023,1023,1018,75,0,804,Clouds,overcast clouds,04n,100,0.8,308,1.37,10000,0,n,2024-12-13 18:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734123600,7.34,7.34,7.34,7.34,1022,1022,1018,75,0,804,Clouds,overcast clouds,04n,100,1.29,252,2.82,10000,0,n,2024-12-13 21:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734134400,7.05,5.77,7.05,7.05,1022,1022,1017,77,0,804,Clouds,overcast clouds,04n,100,1.99,262,4.57,10000,0,n,2024-12-14 00:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734145200,6.39,4.8,6.39,6.39,1021,1021,1016,85,0,804,Clouds,overcast clouds,04n,100,2.2,279,6.33,10000,0,n,2024-12-14 03:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734156000,6.88,5.05,6.88,6.88,1021,1021,1016,86,0,500,Rain,light rain,10n,100,2.6,284,5.42,10000,0.2,0.19,n,2024-12-14 06:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734166800,6.95,5.43,6.95,6.95,1022,1022,1017,83,0,804,Clouds,overcast clouds,04d,100,2.23,276,5.92,10000,0,d,2024-12-14 09:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734177600,7.27,4.49,7.27,7.27,1022,1022,1018,69,0,804,Clouds,overcast clouds,04d,100,4.31,297,8.58,10000,0,d,2024-12-14 12:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734188400,7.26,4.8,7.26,7.26,1023,1023,1018,73,0,804,Clouds,overcast clouds,04d,100,3.69,296,7.53,10000,0,d,2024-12-14 15:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734199200,5.75,3.13,5.75,5.75,1025,1025,1020,78,0,803,Clouds,broken clouds,04n,70,3.42,299,9.01,10000,0,n,2024-12-14 18:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734210000,4.95,2.55,4.95,4.95,1026,1026,1022,77,0,802,Clouds,scattered clouds,03n,31,2.86,292,8.34,10000,0,n,2024-12-14 21:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734220800,4.26,1.73,4.26,4.26,1027,1027,1023,82,0,801,Clouds,few clouds,02n,20,2.85,274,8.66,10000,0,n,2024-12-15 00:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734231600,3.88,1.2,3.88,3.88,1028,1028,1024,82,0,801,Clouds,few clouds,02n,15,2.95,266,8.83,10000,0,n,2024-12-15 03:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734242400,3.66,0.63,3.66,3.66,1028,1028,1024,80,0,801,Clouds,few clouds,02n,22,3.36,242,9.83,10000,0,n,2024-12-15 06:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734253200,5.13,2.15,5.13,5.13,1029,1029,1025,79,0,803,Clouds,broken clouds,04d,78,3.77,242,11.38,10000,0,d,2024-12-15 09:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734264000,7.88,5.4,7.88,7.88,1029,1029,1025,88,0,804,Clouds,overcast clouds,04d,86,4,255,11.23,10000,0,d,2024-12-15 12:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734274800,9.23,7.26,9.23,9.23,1030,1030,1025,92,0,804,Clouds,overcast clouds,04d,100,3.59,265,10.49,10000,0,d,2024-12-15 15:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734285600,9.2,7.64,9.2,9.2,1031,1031,1027,93,0,804,Clouds,overcast clouds,04n,100,2.85,265,8.3,10000,0,n,2024-12-15 18:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734296400,9.05,7.35,9.05,9.05,1033,1033,1028,96,0,804,Clouds,overcast clouds,04n,98,3.04,246,8.77,10000,0,n,2024-12-15 21:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734307200,7.75,5.8,7.75,7.75,1034,1034,1029,97,0,803,Clouds,broken clouds,04n,80,3.02,243,8.88,10000,0,n,2024-12-16 00:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734318000,7.51,5.23,7.51,7.51,1034,1034,1029,96,0,803,Clouds,broken clouds,04n,78,3.47,249,10.94,10000,0,n,2024-12-16 03:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734328800,7.47,5.11,7.47,7.47,1035,1035,1030,94,0,803,Clouds,broken clouds,04n,61,3.6,258,11.81,10000,0,n,2024-12-16 06:00:00
2643743,London,51.5085,-0.1257,GB,1000000,0,1733903790,1733932293,1734339600,8.39,6.32,8.39,8.39,1035,1035,1031,84,0,803,Clouds,broken clouds,04d,68,3.43,262,9.42,10000,0,d,2024-12-16 09:00:00
